,Product Name,Product Price,Key Features,Availability,Image Link,Product Link,brand
52,Panasonic HC-V380K Full HD Camcorder (Refurbished),$299,"1080p Video at 60 fps,1/5.8"" BSI MOS Sensor,50x Optical Zoom & 90x Intelligent Zoom,Wireless Multi-Camera Support",Back-Ordered,,https://www.bhphotovideo.com/c/product/1659985-REG/panasonic_hc_v380kr_hc_v380k_full_hd_camcorder.html,Panasonic
53,Panasonic HC-V380K Full HD Camcorder,$327,"1080p Video at 60 fps,1/5.8"" BSI MOS Sensor,50x Optical Zoom & 90x Intelligent Zoom,Wireless Multi-Camera Support",More on the Way,,https://www.bhphotovideo.com/c/product/1211808-REG/panasonic_hc_v380k_full_hd_camcorder.html,Panasonic
54,Panasonic HC-W580K Full HD Camcorder with Twin Camera,$397,"1080p Video at 60 fps,1/5.8"" BSI MOS Sensor,50x Optical Zoom & 90x Intelligent Zoom,Twin Camera and Wireless Multi-Camera",More on the Way,,https://www.bhphotovideo.com/c/product/1211807-REG/panasonic_hc_w580k_full_hd_camcorder.html,Panasonic
55,KJB Security Products DD3150 Camera Finder with RF Detector,$79,"Detects RF Signals from Up to 30' Away,Viewfinder to Locate Camera Lens,Backlit LCD Screen,LED Indicator Lights",In Stock,,https://www.bhphotovideo.com/c/product/1304429-REG/kjb_security_products_dd3150_rf_signal_detector_camera.html,KJB
56,KJB Security Products NG3000 Rabbler Noise Generator,$365,"Protect Against Eavesdropping Devices,300 Hz to 3600 Hz Frequency Range,Uses Speech-Like Noise,Compact and Portable Form Factor",Special Order,,https://www.bhphotovideo.com/c/product/919554-REG/kjb_security_products_ng3000_rabbler_noise_generator.html,KJB
57,KJB Security Products DD1100 deScammer Credit Card Skimmer Detector,$69,"Designed for Counter Surveillance,Detects Bluetooth Transmitters,One-Touch Operation,Rechargeable Battery",Special Order,,https://www.bhphotovideo.com/c/product/1527792-REG/kjb_security_products_dd1100_credit_card_skimmer_detector.html,KJB
58,KJB Security Products PRO-10G Cell Phone and GPS Bug Detector,$249,"Detects GPS, Trackers, GSM, Cell Phones,Locates Bluetooth and Wi-Fi Devices,Signal Detection Range of up to 40',Prevents Wire Tapping and Laser Tapping",In Stock,,https://www.bhphotovideo.com/c/product/1070654-REG/kjb_security_products_dd804_pro_10g_cell_phone.html,KJB
59,KJB Security Products DD12051 iProtect RF Wireless Signal Detector Wand,$295,"Designed for Counter Surveillance,50 MHz to 8 GHz Frequency Range,Detects Bugging Devices & Transmitters,Detects GSM, Bluetooth & Wi-Fi Devices",In Stock,,https://www.bhphotovideo.com/c/product/1261249-REG/kjb_security_products_dd12051_rf_wireless_signal_detector.html,KJB
60,Louroe Verifact A Microphone,$119,"Omni-Directional,Transmission Distance of up to 1,000',Sensitivity Switch for Lowering Gain,Wall or Ceiling Mountable",In Stock,https://static.bhphoto.com/images/images345x345/1525190789_943886.jpg,https://www.bhphotovideo.com/c/product/943886-REG/louroe_le_070_ceiling_mount_microphone_verifact_a.html,Louroe
61,Hikvision DS-2FP2020 Hi-Fi Condenser Microphone,$47,"Omnidirectional Audio Pickup,Designed for CCTV Applications,754 ft² Pickup Range,9843' Audio Transmission Distance",In Stock,,https://www.bhphotovideo.com/c/product/1427755-REG/hikvision_ds_2fp2020_external_microphone.html,Hikvision
62,Mini Gadgets MQ350 8GB USB Voice Recorder,$59,"Designed for Covert Audio Surveillance,Voice-Activated Recording Mode,Up to 25 Days of Standby,8GB of Internal Storage",In Stock,,https://www.bhphotovideo.com/c/product/1304520-REG/mgi_minigadgets_inc_mq350_voice_recorder_25_day.html,Mini
63,Axis Communications T8351 Mk II Microphone 3.5mm,$99,"Compact Hemispherical Analog Microphone,3.5mm Connector,Supports Network Devices with Mic Input,Powered by Network Device",In Stock,,https://www.bhphotovideo.com/c/product/1468268-REG/axis_communications_01560_001_t8351_mk_ii_3_5mm.html,Axis
64,Axis Communications T8355 Digital Microphone,$129,"Compact Hemispherical Digital Microphone,Lossless Transfer of Audio Signals,Electromagnetic Immunity,Powered by Network Device",In Stock,,https://www.bhphotovideo.com/c/product/1492490-REG/axis_communications_01561_001_t8355_digital_microphone.html,Axis
65,AKG PZM-11 - Wall Plate Mountable Security Microphone (White),$135,,In Stock,,https://www.bhphotovideo.com/c/product/179602-REG/Crown_Audio_PZM_11_PZM_11_Security_Microphone.html,AKG
66,Axis Communications TU1001-VE Microphone,$149,"Hemispherical Analog Microphone,3.5mm Connector,Supports Network Devices with Mic Input,Powered by Network Device",In Stock,,https://www.bhphotovideo.com/c/product/1643359-REG/axis_communications_02269_001_tu1001_ve_outdoor_analog_microphone.html,Axis
67,Blackmagic Design DaVinci Resolve 17 Studio with Speed Editor (Dongle),$395,"Resolve 17 Studio,8K Editing & Color Correction,Advanced HDR Editing,Next Gen Audio Engine; Edit 2000+ Tracks",In Stock,https://static.bhphoto.com/images/images345x345/1618482047_1634984.jpg,https://www.bhphotovideo.com/c/product/1634984-REG/blackmagic_design_dv_resstud_dongle_se_bun_davinci_resolve_17_studio.html,Blackmagic
68,Sony All-in-One PXW-Z280 Camera Transport Kit with Accessories,"$11,400","PXW-Z280 with 17x Optical Zoom Lens,3 x CMOS Sensors, 4K60p Recording,Cartoni Focus 8 Video Tripod System,Think Tank V20 Carry-On Roller Bag",Back-Ordered,,https://www.bhphotovideo.com/c/product/1429559-REG/sony_vtk_z280_pxw_z280_all_in_one_video_transport.html,Sony
